"Hoswirudivirus ARV3"
"Hoswirudivirus MRV1"
"Hoswirudivirus SSRV1"
"Japarudivirus SBRV1"
"Alphatristromavirus PFV2"
"Mastomys natalensis polyomavirus 2"
"Mastomys natalensis polyomavirus 3"
"Sorex araneus polyomavirus 1"
"Sorex coronatus polyomavirus 1"
"Sorex minutus polyomavirus 1"
"Tupaia belangeri polyomavirus 1"
"Callosciurus prevostii polyomavirus 1"
"Lepus granatensis polyomavirus 1"
"Mus musculus polyomavirus 2"
"Mus musculus polyomavirus 3"
"Rattus norvegicus polyomavirus 2"
"Sciurus carolinensis polyomavirus 1"
"Canis lupus polyomavirus 1"
"Capra aegragus polyomavirus 1"
"Dipteran muscodensovirus 1"
"Orthopteran scindoambidensovirus 1"
"Carnivore chaphamaparvovirus 1"
"Dasyurid chaphamaparvovirus 1"
"Dasyurid chaphamaparvovirus 2"
"Dasyurid chaphamaparvovirus 3"
"Galliform chaphamaparvovirus 2"
"Galliform chaphamaparvovirus 3"
"Galliform chaphamaparvovirus 4"
"Galliform chaphamaparvovirus 5"
"Primate chaphamaparvovirus 1"
"Psittacine chaphamaparvovirus 1"
"Rodent chaphamaparvovirus 2"
"Syngnathid ichthamaparvovirus 1"
"Carnivore bocaparvovirus 1"
"Primate bocaparvovirus 1"
"Primate bocaparvovirus 3"
"Rodent bocaparvovirus 2"
"Ungulate bocaparvovirus 7"
"Ungulate bocaparvovirus 9"
"Ungulate copiparvovirus 3"
"Ungulate copiparvovirus 4"
"Ungulate copiparvovirus 6"
"Carnivore dependoparvovirus 1"
"Rodent dependoparvovirus 1"
"Rodent dependoparvovirus 2"
"Pinniped erythroparvovirus 1"
"Ungulate erythroparvovirus 1"
"Carnivore protoparvovirus 3"
"Carnivore protoparvovirus 4"
"Bat associated circovirus 11"
"Bat associated circovirus 12"
"Bat associated circovirus 13"
"Bear circovirus"
"Elk circovirus"
"Penguin circovirus"
"Porcine circovirus 2"
"Porcine circovirus 4"
"Rodent associated circovirus 1"
"Rodent associated circovirus 2"
"Rodent associated circovirus 3"
"Rodent associated circovirus 4"
"Rodent associated circovirus 5"
"Rodent associated circovirus 6"
"Rodent associated circovirus 7"
"Tick associated circovirus 2"
"Whale circovirus"
"Capybara associated cyclovirus"
"Dragonfly associated cyclovirus 1"
"Rodent associated cyclovirus 1"
"Rodent associated cyclovirus 2"
"Felismacovirus lynas1"
"Inpeasmacovirus humas1"
"Inpeasmacovirus peafo1"
"Porprismacovirus avias1"
"Porprismacovirus babas1"
"Porprismacovirus capas1"
"Porprismacovirus chicas1"
"Porprismacovirus chicas2"
"Porprismacovirus chicas3"
"Porprismacovirus chicas4"
"Porprismacovirus chicas5"
"Porprismacovirus chicas6"
"Porprismacovirus chicas7"
"Porprismacovirus goas1"
"Porprismacovirus humas3"
"Porprismacovirus humas4"
"Porprismacovirus leo1"
"Porprismacovirus lynas2"
"Porprismacovirus macas1"
"Porprismacovirus macas2"
"Porprismacovirus macas3"
"Porprismacovirus macas4"
"Porprismacovirus macas5"
"Porprismacovirus macas6"
"Porprismacovirus malbas1"
"Porprismacovirus peafo1"
"Porprismacovirus porci1"
"Porprismacovirus porci11"
"Porprismacovirus porci12"
"Porprismacovirus porci13"
"Porprismacovirus porci14"
"Porprismacovirus porci15"
"Porprismacovirus porci16"
"Porprismacovirus porci17"
"Porprismacovirus porci18"
"Porprismacovirus porci19"
"Porprismacovirus porci20"
"Coconut foliar decay virus"
"Parsley severe stunt associated virus"
"Sophora yellow stunt virus"
"Subterranean clover stunt virus"
"Brisavirus"
"Vientovirus"
"African cassava mosaic Burkina Faso virus"
"Ageratum leaf curl Sichuan virus"
"Bean bushy stunt virus"
"Bean latent virus"
"Bitter gourd yellow mosaic virus"
"Blechum yellow vein virus"
"Chilli leaf curl Bhavanisagar virus"
"Chilli leaf curl Gonda virus"
"Chilli leaf curl Sri Lanka virus"
"Corchorus yellow vein Cuba virus"
"Cotton yellow mosaic virus"
"Cowpea bright yellow mosaic virus"
"Croton golden mosaic virus"
"Cucumber chlorotic leaf virus"
"Dicliptera yellow mottle Cuba virus"
"Dolichos yellow mosaic virus"
"Eclipta yellow vein virus"
"Emilia yellow vein Fujian virus"
"Hibiscus golden mosaic virus"
"Hibiscus yellow vein leaf curl virus"
"Hollyhock yellow vein mosaic virus"
"Hollyhock yellow vein virus"
"Hybanthus yellow mosaic virus"
"Malvastrum yellow vein Lahore virus"
"Melon yellow mosaic virus"
"Ocimum golden mosaic virus"
"Ocimum mosaic virus"
"Ocimum yellow vein virus"
"Papaya yellow leaf curl virus"
"Pepper blistering leaf virus"
"Pepper leaf curl Lahore virus"
"Pepper yellow leaf curl Aceh virus"
"Pepper yellow leaf curl Indonesia virus 2"
"Pouzolzia yellow mosaic virus"
"Sida chlorotic leaf virus"
"Sida interveinal bright yellow virus"
"Sida mottle virus"
"Sida yellow golden mosaic virus"
"Sweet potato leaf curl Hubei virus"
"Sweet potato leaf curl Shandong virus"
"Tobacco leaf curl Dominican Republic virus"
"Tomato chlorotic leaf curl virus"
"Tomato leaf curl Hainan virus"
"Tomato leaf curl Japan virus"
"Tomato leaf curl Joydebpur virus"
"Tomato leaf curl Karnataka virus 2"
"Tomato leaf curl Karnataka virus 3"
"Tomato leaf curl Kunene virus"
"Tomato leaf curl Mahe virus"
"Tomato leaf curl New Delhi virus 5"
"Tomato leaf curl Tanzania virus"
"Tomato mosaic severe dwarf virus"
"Tomato mottle leaf curl virus"
"Tomato severe leaf curl Kalakada virus"
"Tomato twisted leaf virus"
"Tomato vein clearing leaf deformation virus"
"Tomato wrinkled mosaic virus"
"Tomato yellow leaf deformation dwarf virus"
"Verbena mottle virus"
"West African Asystasia virus 3"
"Euphorbia caput-medusae latent virus"
"Paper mulberry leaf curl virus 2"
"Grapevine red blotch virus"
"Wild Vitis latent virus"
"Chickpea redleaf virus 2"
"Dragonfly-associated mastrevirus"
"Eleusine indica associated virus"
"Maize streak dwarfing virus"
"Maize striate mosaic virus"
"Melenis repens associated virus"
"Rice latent virus 1"
"Sorghum arundinaceum associated virus"
"Sugarcane striate virus"
"Sweet potato symptomless virus 1"
"Wheat dwarf virus"
"Mulberry crinkle leaf virus"
"Paper mulberry leaf curl virus 1"
"Opuntia virus 1"
"Tomato apical leaf curl virus"
"Sesame curly top virus"
"Gemycircularvirus abati1"
"Gemycircularvirus alces1"
"Gemycircularvirus alces2"
"Gemycircularvirus ansal1"
"Gemycircularvirus aspar1"
"Gemycircularvirus austro1"
"Gemycircularvirus austro2"
"Gemycircularvirus austro3"
"Gemycircularvirus austro4"
"Gemycircularvirus austro5"
"Gemycircularvirus canlup1"
"Gemycircularvirus citas1"
"Gemycircularvirus cybusi1"
"Gemycircularvirus denbre2"
"Gemycircularvirus denbre3"
"Gemycircularvirus denbre4"
"Gemycircularvirus derva1"
"Gemycircularvirus dichism1"
"Gemycircularvirus giapa1"
"Gemycircularvirus giapa2"
"Gemycircularvirus giapa3"
"Gemycircularvirus giapa5"
"Gemycircularvirus giapa6"
"Gemycircularvirus giapa7"
"Gemycircularvirus giapa8"
"Gemycircularvirus gopha1"
"Gemycircularvirus gopha2"
"Gemycircularvirus gopha3"
"Gemycircularvirus hadtis1"
"Gemycircularvirus haeme1"
"Gemycircularvirus haeme2"
"Gemycircularvirus hydro1"
"Gemycircularvirus ixode1"
"Gemycircularvirus lebec1"
"Gemycircularvirus legle1"
"Gemycircularvirus lepa2"
"Gemycircularvirus lepam1"
"Gemycircularvirus lepam2"
"Gemycircularvirus lepam3"
"Gemycircularvirus lynca2"
"Gemycircularvirus lynca3"
"Gemycircularvirus miniti1"
"Gemycircularvirus miniti2"
"Gemycircularvirus miniti3"
"Gemycircularvirus miniti4"
"Gemycircularvirus minti6"
"Gemycircularvirus mocha1"
"Gemycircularvirus mouti1"
"Gemycircularvirus mouti2"
"Gemycircularvirus mouti3"
"Gemycircularvirus mouti4"
"Gemycircularvirus mouti5"
"Gemycircularvirus mouti6"
