"Alphalipothrixvirus SBFV2"
"Salmonella virus SH19"
"Salmonella virus SJ2"
"Salmonella virus SJ3"
"Salmonella virus SP1"
"Salmonella virus SS9"
"Salmonella virus STML131"
"Salmonella virus STW77"
"Salmonella virus ViI"
"Vibrio virus YC"
"Vibrio virus Kuja"
"Serratia virus 3M"
"Serratia virus MAM1"
"Erwinia virus Bue1"
"Erwinia virus Ea2809"
"Escherichia virus KWBSE43-6"
"Klebsiella virus 0507KN21"
"Klebsiella virus KpS110"
"Klebsiella virus Magnus"
"Klebsiella virus May"
"Klebsiella virus Menlow"
"Klebsiella virus UPM2146"
"Serratia virus IME250"
"Aeromonas virus A8-29"
"Vibrio virus VAP7"
"Acinetobacter virus Acibel007"
"Acinetobacter virus AB3"
"Acinetobacter virus AbKT21III"
"Acinetobacter virus Abp1"
"Acinetobacter virus Aci07"
"Acinetobacter virus Aci08"
"Acinetobacter virus AS11"
"Acinetobacter virus AS12"
"Acinetobacter virus B1"
"Acinetobacter virus B3"
"Acinetobacter virus B5"
"Acinetobacter virus D2"
"Acinetobacter virus Fri1"
"Acinetobacter virus IME200"
"Acinetobacter virus P1"
"Acinetobacter virus P2"
"Acinetobacter virus PD6A3"
"Acinetobacter virus PDAB9"
"Acinetobacter virus phiAB1"
"Acinetobacter virus phiAB6"
"Acinetobacter virus SH-Ab 15519"
"Acinetobacter virus SWHAb1"
"Acinetobacter virus SWHAb3"
"Acinetobacter virus WCHABP5"
"Acinetobacter virus Petty"
"Vibrio virus Vc1"
"Vibrio virus A318"
"Vibrio virus AS51"
"Vibrio virus Vp670"
"Marinomonas virus CB5A"
"Marinomonas virus CPP1m"
"Vibrio virus VEN"
"Pseudomonas virus Achelous"
"Pseudomonas virus Alpheus"
"Pseudomonas virus Nerthus"
"Pseudomonas virus Njord"
"Pseudomonas virus uligo"
"Pseudomonas virus C171"
"Pectobacterium virus PP16"
"Pectobacterium virus PPWS1"
"Pectobacterium virus PPWS2"
"Pectobacterium virus CB5"
"Pectobacterium virus Clickz"
"Pectobacterium virus fM1"
"Pectobacterium virus Gaspode"
"Pectobacterium virus Khlen"
"Pectobacterium virus Koot"
"Pectobacterium virus Lelidair"
"Pectobacterium virus Nobby"
"Pectobacterium virus Peat1"
"Pectobacterium virus Phoria"
"Pectobacterium virus PP90"
"Pectobacterium virus Zenivior"
"Dickeya virus BF25-12"
"Pseudomonas virus NV3"
"Pseudomonas virus 130-113"
"Pseudomonas virus 15pyo"
"Pseudomonas virus Ab05"
"Pseudomonas virus ABTNL"
"Pseudomonas virus DL62"
"Pseudomonas virus kF77"
"Pseudomonas virus LKD16"
"Pseudomonas virus LUZ19"
"Pseudomonas virus MPK6"
"Pseudomonas virus MPK7"
"Pseudomonas virus NFS"
"Pseudomonas virus PAXYB1"
"Pseudomonas virus phiKMV"
"Pseudomonas virus PT2"
"Pseudomonas virus PT5"
"Pseudomonas virus RLP"
"Pseudomonas virus LKA1"
"Pseudomonas virus f2"
"Aeromonas virus 25AhydR2PP"
"Aeromonas virus AS7"
"Aeromonas virus ZPAH7"
"Yersinia virus ISAO8"
"Aeromonas virus Ahp1"
"Aeromonas virus CF7"
"Cronobacter virus DevCD23823"
"Cronobacter virus GAP227"
"Salmonella virus Spp16"
"Yersinia virus R8-01"
"Yersinia virus fHeYen301"
"Yersinia virus Phi80-18"
"Pectobacterium virus Arno160"
"Pectobacterium virus PP2"
"Proteus virus PM85"
"Proteus virus PM93"
"Proteus virus PM116"
"Proteus virus Pm5460"
"Pectobacterium virus PP1"
"Erwinia virus Era103"
"Erwinia virus S2"
"Lelliottia virus phD2B"
"Citrobacter CrRp3"
"Escherichia virus AAPEc6"
"Escherichia virus ACGC91"
"Escherichia virus B"
"Escherichia virus C"
"Escherichia virus K"
"Escherichia virus K1-5"
"Escherichia virus K1E"
"Escherichia virus mutPK1A2"
"Escherichia virus VEc3"
"Escherichia virus UAB78"
"Salmonella virus BP12B"
"Salmonella virus SP6"
"Burkholderia virus BpAMP1"
"Ralstonia virus RSPI1"
"Ralstonia virus RSB1"
"Ralstonia virus RsoP1IDN"
"Burkholderia virus JG068"
"Ralstonia virus RSJ2"
"Ralstonia virus RSJ5"
"Ralstonia virus RSPII1"
"Shigella virus Buco"
"Escherichia virus Minorna"
"Klebsiella virus AltoGao"
"Klebsiella virus BO1E"
"Klebsiella virus F19"
"Klebsiella virus K244"
"Klebsiella virus Kp2"
"Klebsiella virus KP34"
"Klebsiella virus KPRio2015"
"Klebsiella virus KpS2"
"Klebsiella virus KpV41"
"Klebsiella virus KpV48"
"Klebsiella virus KpV71"
"Klebsiella virus KpV74"
"Klebsiella virus KpV475"
"Klebsiella virus KPV811"
"Klebsiella virus myPSH1235"
"Klebsiella virus SU503"
"Klebsiella virus SU552A"
"Shigella virus SFN6B"
"Enterobacter virus KDA1"
"Proteus virus PM16"
"Proteus virus PM75"
"Dickeya virus Dagda"
"Dickeya virus Katbat"
"Dickeya virus Luksen"
"Dickeya virus Mysterion"
"Yersinia virus AP10"
"Erwinia virus FE44"
"Escherichia virus 285P"
"Escherichia virus BA14"
"Escherichia virus P483"
"Escherichia virus P694"
"Escherichia virus S523"
"Kluyvera virus Kvp1"
"Pectobacterium virus PP74"
"Salmonella virus BP12A"
"Salmonella virus BSP161"
"Shigella virus A7"
"Yersinia virus Berlin"
"Yersinia virus PYPS50"
"Yersinia virus Yepe2"
"Yersinia virus Yepf"
"Vibrio virus ICP3"
"Vibrio virus N4"
"Vibrio virus VP4"
"Enterobacter virus Eap1"
"Erwinia virus L1"
"Escherichia virus SRT7"
"Pseudomonas virus 17A"
"Pseudomonas virus gh1"
"Pseudomonas virus Henninger"
"Pseudomonas virus KNP"
"Pseudomonas virus Pf1ERZ2017"
"Pseudomonas virus PhiPSA2"
"Pseudomonas virus PhiPsa17"
"Pseudomonas virus PPPL1"
"Pseudomonas virus shl2"
"Pseudomonas virus WRT"
"Yersinia virus fPS9"
"Yersinia virus fPS53"
"Yersinia virus fPS59"
"Yersinia virus fPS54ocr"
"Pectobacterium virus Jarilo"
"Citrobacter virus CR44b"
"Citrobacter virus SH3"
"Citrobacter virus SH4"
"Cronobacter virus Dev2"
"Cronobacter virus GW1"
"Enterobacter virus EcpYZU01"
"Escherichia virus EcoDS1"
"Escherichia virus F"
"Escherichia virus GA2A"
"Escherichia virus IMM002"
"Escherichia virus K1F"
"Escherichia virus LM33P1"
"Escherichia virus PE3-1"
"Escherichia virus Ro45lw"
"Escherichia virus ST31"
"Escherichia virus Vec13"
"Escherichia virus YZ1"
"Escherichia virus ZG49"
"Shigella virus SFPH2"
"Morganella virus MmP1"
"Morganella virus MP2"
"Dickeya virus JA10"
"Dickeya virus Ninurta"
"Pectobacterium virus PP47"
"Pectobacterium virus PP81"
"Pectobacterium virus PPWS4"
"Pseudomonas virus PPpW4"
"Pseudomonas virus 22PfluR64PP"
"Pseudomonas virus IBBPF7A"
"Pseudomonas virus Pf10"
"Pseudomonas virus PFP1"
"Pseudomonas virus PhiS1"
"Pseudomonas virus UNOSLW1"
"Pseudomonas virus PspYZU08"
"Escherichia virus K30"
"Klebsiella virus 2044-307w"
"Klebsiella virus BIS33"
"Klebsiella virus Henu1"
"Klebsiella virus IL33"
"Klebsiella virus IME205"
"Klebsiella virus IME321"
"Klebsiella virus K5"
"Klebsiella virus K11"
"Klebsiella virus K5-2"
"Klebsiella virus K5-4"
"Klebsiella virus KN1-1"
"Klebsiella virus KN3-1"
"Klebsiella virus KN4-1"
"Klebsiella virus Kp1"
"Klebsiella virus KP32"
"Klebsiella virus KP32i192"
"Klebsiella virus KP32i194"
"Klebsiella virus KP32i195"
"Klebsiella virus KP32i196"
"Klebsiella virus kpssk3"
"Klebsiella virus KpV289"
